"Berufsübersetzung","Resultatsberuf","Nummer","Resultatsberuf2","Nummer2","Resultatsberuf_3","Nummer_3"
"Dentalhygieni","Dentalhygieniker/in","81113-10",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22","Dentalhygieniker/in","81113-10"
"Choreograp","Ballettmeister/in","94224-10",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22","Ballettmeister/in","94224-10"
"Kieferorthopä","Kieferorthopädische/r Fachhelfer/in","81113-10",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22","Kieferorthopädische/r Fachhelfer/in","81113-10"
"Krankenschwes","Ambulante/r Pfleger/in","82182-10",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22"
"Medizinische Notfalltechniker und Rettungssanitä",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22","Rettungssanitäter/in","81342-10",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22"
"Chiroprakti","Facharzt/-ärztin - Orthopädie und Unfallchirurgie","81434-10","Facharzt/-ärztin - Orthopädie und Unfallchirurgie","81434-10","Facharzt/-ärztin - Orthopädie und Unfallchirurgie","81434-10"
"Flugbeglei","Flugbegleiter/in","51422-10","Flugbegleiter/in","51422-10","Flugbegleiter/in","51422-10"
"Fußspezialis",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22"
"Physiotherapeu","Physiotherapeut/in","81713-10",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22"
"Barbi","Herrenfriseur/in","82312-10",,"Error: Evaluation failed: TypeError: Cannot read property 'innerHTML' of null
    at __puppeteer_evaluation_script__:5:22","Herrenfriseur/in","82312-10"
