"germancode","jobs","code","count","mean","std","min","25%","50%","75%","max","rel_std"
814,"['Dental Hygienists']","29-202",1,100,0,100,100,100,100,100,0
942,"['Choreographers', 'Dancers']","27-203",2,99,"1.414213562",98,"98.5",99,"99.5",100,"0.014284985"
814,"['Orthodontists', 'Oral and Maxillofacial Surgeons', 'Prosthodontists', 'Dentists, General']","29-102",4,97,"3.366501646",92,"96.5","98.5",99,99,"0.034706203"
813,"['Nurse Midwives']","29-116",1,97,0,97,97,97,97,97,0
813,"['Emergency Medical Technicians and Paramedics']","29-204",1,97,0,97,97,97,97,97,0
817,"['Chiropractors']","29-101",1,96,0,96,96,96,96,96,0
514,"['Flight Attendants']","53-203",1,96,0,96,96,96,96,96,0
817,"['Podiatrists']","29-108",1,95,0,95,95,95,95,95,0
817,"['Physical Therapist Aides', 'Physical Therapist Assistants']","31-202",2,"94.5","0.707106781",94,"94.25","94.5","94.75",95,"0.007482611"
823,"['Barbers', 'Hairdressers, Hairstylists, and Cosmetologists']","39-501",2,"93.5","2.121320344",92,"92.75","93.5","94.25",95,"0.022687918"
514,"['Transportation Attendants, Except Flight Attendants']","53-606",1,93,0,93,93,93,93,93,0
823,"['Makeup Artists, Theatrical and Performance', 'Manicurists and Pedicurists', 'Shampooers', 'Skincare Specialists']","39-509",4,"91.5","5.446711546",86,89,"90.5",93,99,"0.059526902"
825,"['Orthotists and Prosthetists', 'Neurodiagnostic Technologists', 'Surgical Assistants', 'Radiologic Technicians', 'Hearing Aid Specialists', 'Ophthalmic Medical Technologists']","29-209",6,"91.33333333","6.801960502",79,"89.5",94,"95.5",97,"0.07447402"
815,"['Veterinarians']","29-113",1,91,0,91,91,91,91,91,0
813,"['Home Health Aides', 'Nursing Assistants', 'Orderlies', 'Psychiatric Aides']","31-101",4,"90.25","5.377421935",84,"87.75",90,"92.5",97,"0.059583623"
825,"['Optometrists']","29-104",1,90,0,90,90,90,90,90,0
817,"['Acupuncturists', 'Orthoptists', 'Naturopathic Physicians']","29-119",3,90,"1.732050808",88,"89.5",91,91,91,"0.019245009"
813,"['Licensed Practical and Licensed Vocational Nurses']","29-206",1,90,0,90,90,90,90,90,0
813,"['Ambulance Drivers and Attendants, Except Emergency Medical Technicians']","53-301",1,90,0,90,90,90,90,90,0
817,"['Massage Therapists']","31-901",1,89,0,89,89,89,89,89,0
413,"['Roustabouts, Oil and Gas']","47-507",1,89,0,89,89,89,89,89,0
817,"['Speech-Language Pathologists', 'Physical Therapists', 'Respiratory Therapists', 'Exercise Physiologists', 'Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists', 'Art Therapists', 'Radiation Therapists', 'Music Therapists', 'Recreational Therapists', 'Occupational Therapists']","29-112",10,"88.9","8.569325139",73,"84.5","90.5","94.5",100,"0.096392859"
825,"['Diagnostic Medical Sonographers', 'Radiologic Technologists', 'Nuclear Medicine Technologists', 'Cardiovascular Technologists and Technicians', 'Magnetic Resonance Imaging Technologists']","29-203",5,"88.6","8.324662155",76,86,89,95,97,"0.093957812"
841,"['Teacher Assistants']","25-904",1,88,0,88,88,88,88,88,0
811,"['Physician Assistants', 'Anesthesiologist Assistants']","29-107",2,88,0,88,88,88,88,88,0
813,"['Registered Nurses', 'Advanced Practice Psychiatric Nurses', 'Clinical Nurse Specialists', 'Critical Care Nurses', 'Acute Care Nurses']","29-114",5,88,"8.746427842",77,80,94,94,95,"0.099391225"
293,"['First-Line Supervisors of Food Preparation and Serving Workers', 'Chefs and Head Cooks']","35-101",2,88,"9.899494937",81,"84.5",88,"91.5",95,"0.112494261"
825,"['Respiratory Therapy Technicians', 'Surgical Technologists', 'Ophthalmic Medical Technicians', 'Pharmacy Technicians', 'Veterinary Technologists and Technicians', 'Psychiatric Technicians', 'Dietetic Technicians']","29-205",7,"87.42857143","11.55937055",65,84,90,95,99,"0.132215023"
813,"['Nurse Anesthetists']","29-115",1,87,0,87,87,87,87,87,0
241,"['Structural Iron and Steel Workers']","47-222",1,87,0,87,87,87,87,87,0
817,"['Occupational Therapy Assistants', 'Occupational Therapy Aides']","31-201",2,"86.5","6.363961031",82,"84.25","86.5","88.75",91,"0.073571804"
943,"['Gaming and Sports Book Writers and Runners', 'Gaming Dealers']","39-301",2,"86.5","2.121320344",85,"85.75","86.5","87.25",88,"0.024523935"
813,"['Personal Care Aides']","39-902",1,86,0,86,86,86,86,86,0
813,"['Nurse Practitioners']","29-117",1,85,0,85,85,85,85,85,0
511,"['Rail-Track Laying and Maintenance Equipment Operators']","47-406",1,85,0,85,85,85,85,85,0
823,"['First-Line Supervisors of Personal Service Workers', 'Spa Managers']","39-102",2,"84.5","3.535533906",82,"83.25","84.5","85.75",87,"0.041840638"
111,"['Graders and Sorters, Agricultural Products']","45-204",1,84,0,84,84,84,84,84,0
