"germancode","checked","Berufsübersetzung","jobs","code","count","mean","std","min","25%","50%","75%","max","rel_std","Berufsübersetzung","number_zusammen","Resultatsberuf_zusammen","three_letter_scraper","matched"
813,"y","Krankenschwes","['Nurse Midwives']","29-116","1.0","97.0","0.0","97.0","97.0","97.0","97.0","97.0","0.0","Krankenschwes","82182-10","Ambulante/r Pfleger/in",821,"False"
817,811,"Fußspezialis","['Podiatrists']","29-108","1.0","95.0","0.0","95.0","95.0","95.0","95.0","95.0","0.0","Fußspezialis",,,,"False"
514,"y","Transportbeglei","['Transportation Attendants, Except Flight Attendants']","53-606","1.0","93.0","0.0","93.0","93.0","93.0","93.0","93.0","0.0","Transportbeglei",,,,"False"
825,814,"Orthopäden und Protheti","['Orthotists and Prosthetists', 'Neurodiagnostic Technologists', 'Surgical Assistants', 'Radiologic Technicians', 'Hearing Aid Specialists', 'Ophthalmic Medical Technologists']","29-209","6.0","91.33333333","6.801960502000001","79.0","89.5","94.0","95.5","97.0","0.07447402","Orthopäden und Protheti",,,,"False"
813,832,"Haushaltshil","['Home Health Aides', 'Nursing Assistants', 'Orderlies', 'Psychiatric Aides']","31-101","4.0","90.25","5.377421935","84.0","87.75","90.0","92.5","97.0","0.059583622999999995","Haushaltshil",,,,"False"
825,"y","Optometris","['Optometrists']","29-104","1.0","90.0","0.0","90.0","90.0","90.0","90.0","90.0","0.0","Optometris",,,,"False"
813,821,"Lizenzierte praktische und lizenzierte Berufsschwest","['Licensed Practical and Licensed Vocational Nurses']","29-206","1.0","90.0","0.0","90.0","90.0","90.0","90.0","90.0","0.0","Lizenzierte praktische und lizenzierte Berufsschwest",,,,"False"
813,"y","Ambulanzfahrer und Betre","['Ambulance Drivers and Attendants, Except Emergency Medical Technicians']","53-301","1.0","90.0","0.0","90.0","90.0","90.0","90.0","90.0","0.0","Ambulanzfahrer und Betre","83124-12","Rechtliche/r Betreuer/in",831,"False"
413,211,"Hilfsarbei","['Roustabouts, Oil and Gas']","47-507","1.0","89.0","0.0","89.0","89.0","89.0","89.0","89.0","0.0","Hilfsarbei","82101-10","Helfer/in - Altenpflege/Persönliche Assistenz",821,"False"
817,"y","Sprachpatholo","['Speech-Language Pathologists', 'Physical Therapists', 'Respiratory Therapists', 'Exercise Physiologists', 'Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists', 'Art Therapists', 'Radiation Therapists', 'Music Therapists', 'Recreational Therapists', 'Occupational Therapists']","29-112","10.0","88.9","8.569325139","73.0","84.5","90.5","94.5","100.0","0.096392859","Sprachpatholo",,,,"False"
825,812,"Diagnostische medizinische Sonograp","['Diagnostic Medical Sonographers', 'Radiologic Technologists', 'Nuclear Medicine Technologists', 'Cardiovascular Technologists and Technicians', 'Magnetic Resonance Imaging Technologists']","29-203","5.0","88.6","8.324662155","76.0","86.0","89.0","95.0","97.0","0.09395781199999999","Diagnostische medizinische Sonograp",,,,"False"
841,"y","Leh","['Teacher Assistants']","25-904","1.0","88.0","0.0","88.0","88.0","88.0","88.0","88.0","0.0","Leh",,,,"False"
813,"y","Registrierte Krankenschweste","['Registered Nurses', 'Advanced Practice Psychiatric Nurses', 'Clinical Nurse Specialists', 'Critical Care Nurses', 'Acute Care Nurses']","29-114","5.0","88.0","8.746427842000001","77.0","80.0","94.0","94.0","95.0","0.099391225","Registrierte Krankenschweste",,,,"False"
293,"y","Vorgesetzte in der ersten Reihe der Lebensmittelzubereitu","['First-Line Supervisors of Food Preparation and Serving Workers', 'Chefs and Head Cooks']","35-101","2.0","88.0","9.899494937","81.0","84.5","88.0","91.5","95.0","0.112494261","Vorgesetzte in der ersten Reihe der Lebensmittelzubereitu",,,,"False"
825,817,"Atemthera","['Respiratory Therapy Technicians', 'Surgical Technologists', 'Ophthalmic Medical Technicians', 'Pharmacy Technicians', 'Veterinary Technologists and Technicians', 'Psychiatric Technicians', 'Dietetic Technicians']","29-205","7.0","87.42857143","11.55937055","65.0","84.0","90.0","95.0","99.0","0.13221502300000001","Atemthera",,,,"False"
241,242,"Ei","['Structural Iron and Steel Workers']","47-222","1.0","87.0","0.0","87.0","87.0","87.0","87.0","87.0","0.0","Ei",,,,"False"
817,817,"Ergotherapeutische Assisten","['Occupational Therapy Assistants', 'Occupational Therapy Aides']","31-201","2.0","86.5","6.3639610310000005","82.0","84.25","86.5","88.75","91.0","0.073571804","Ergotherapeutische Assisten","26242-10","Techn. Assistent/in - regenerative Energietechnik/Energiem.",262,"False"
943,"y","Autoren und Läufer von Sp","['Gaming and Sports Book Writers and Runners', 'Gaming Dealers']","39-301","2.0","86.5","2.121320344","85.0","85.75","86.5","87.25","88.0","0.024523935","Autoren und Läufer von Sp",,,,"False"
813,821,"Persönliche Pflegehil","['Personal Care Aides']","39-902","1.0","86.0","0.0","86.0","86.0","86.0","86.0","86.0","0.0","Persönliche Pflegehil",,,,"False"
813,"y","Krankenschwes","['Nurse Practitioners']","29-117","1.0","85.0","0.0","85.0","85.0","85.0","85.0","85.0","0.0","Krankenschwes","82182-10","Ambulante/r Pfleger/in",821,"False"
511,322,"Betreiber von Gleis","['Rail-Track Laying and Maintenance Equipment Operators']","47-406","1.0","85.0","0.0","85.0","85.0","85.0","85.0","85.0","0.0","Betreiber von Gleis",,,,"False"
823,631,"Vorgesetzte in der ersten Reihe der Personaldienstleis","['First-Line Supervisors of Personal Service Workers', 'Spa Managers']","39-102","2.0","84.5","3.5355339060000004","82.0","83.25","84.5","85.75","87.0","0.041840638","Vorgesetzte in der ersten Reihe der Personaldienstleis",,,,"False"
111,"y","Plan","['Graders and Sorters, Agricultural Products']","45-204","1.0","84.0","0.0","84.0","84.0","84.0","84.0","84.0","0.0","Plan",,,,"False"
831,845,"Angepasste Sportpädagog","['Adapted Physical Education Specialists', 'Special Education Teachers, Kindergarten and Elementary School', 'Special Education Teachers, Secondary School', 'Special Education Teachers, Preschool', 'Special Education Teachers, Middle School']","25-205","5.0","83.0","6.123724357","74.0","81.0","83.0","87.0","90.0","0.073779812","Angepasste Sportpädagog",,,,"False"
825,"y","Opti","['Opticians, Dispensing']","29-208","1.0","83.0","0.0","83.0","83.0","83.0","83.0","83.0","0.0","Opti","21362-10","Feinoptiker/in",213,"False"
633,"y","Speisezim","['Dining Room and Cafeteria Attendants and Bartender Helpers']","35-901","1.0","82.0","0.0","82.0","82.0","82.0","82.0","82.0","0.0","Speisezim",,,,"False"
943,531,"Spielautomatenaufse","['Slot Supervisors', 'Gaming Supervisors']","39-101","2.0","82.0","2.828427125","80.0","81.0","82.0","83.0","84.0","0.034493014","Spielautomatenaufse",,,,"False"
341,531,"Platzanwei","['Ushers, Lobby Attendants, and Ticket Takers']","39-303","1.0","82.0","0.0","82.0","82.0","82.0","82.0","82.0","0.0","Platzanwei","53111-12","Ordner/in bei Veranstaltungen",531,"False"
413,211,"Rotary Drill Operat","['Rotary Drill Operators, Oil and Gas', 'Service Unit Operators, Oil, Gas, and Mining', 'Derrick Operators, Oil and Gas']","47-501","3.0","82.0","4.358898944","79.0","79.5","80.0","83.5","87.0","0.053157304","Rotary Drill Operat",,,,"False"
531,"y","Städtische Feuerwehrle","['Municipal Firefighters', 'Forest Firefighters']","33-201","2.0","81.5","10.60660172","74.0","77.75","81.5","85.25","89.0","0.130142352","Städtische Feuerwehrle",,,,"False"
831,841,"Tuto","['Tutors']","25-309","1.0","81.0","0.0","81.0","81.0","81.0","81.0","81.0","0.0","Tuto",,,,"False"
621,631,"Reservieru","['Reservation and Transportation Ticket Agents and Travel Clerks']","43-418","1.0","81.0","0.0","81.0","81.0","81.0","81.0","81.0","0.0","Reservieru","63112-10","Touristikassistent/in",631,"False"
844,842,"Gr","['Adult Basic and Secondary Education and Literacy Teachers and Instructors']","25-301","1.0","80.0","0.0","80.0","80.0","80.0","80.0","80.0","0.0","Gr",,,,"False"
333,"y","Zimmerleute im Roh","['Rough Carpenters', 'Construction Carpenters']","47-203","2.0","80.0","1.4142135619999998","79.0","79.5","80.0","80.5","81.0","0.01767767","Zimmerleute im Roh",,,,"False"
,513,"Hel","['Helpers--Extraction Workers']","47-508","1.0","80.0","0.0","80.0","80.0","80.0","80.0","80.0","0.0","Hel","51311-11","Lager- und Transportarbeiter/in",513,"False"
818,"y","Apothekenhelferinn","['Pharmacy Aides', 'Speech-Language Pathology Assistants', 'Dental Assistants', 'Medical Equipment Preparers', 'Endoscopy Technicians', 'Phlebotomists', 'Medical Assistants', 'Medical Transcriptionists', 'Veterinary Assistants and Laboratory Animal Caretakers']","31-909","9.0","79.22222222","15.69058458","42.0","77.0","82.0","88.0","99.0","0.19805787","Apothekenhelferinn",,,,"False"
633,634,"Hosts und Hostes","['Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop']","35-903","1.0","79.0","0.0","79.0","79.0","79.0","79.0","79.0","0.0","Hosts und Hostes",,,,"False"
824,"y","Bestattungshel","['Funeral Attendants']","39-402","1.0","79.0","0.0","79.0","79.0","79.0","79.0","79.0","0.0","Bestattungshel",,,,"False"
,262,"Servicetechniker für Windkraftanla","['Wind Turbine Service Technicians']","49-908","1.0","79.0","0.0","79.0","79.0","79.0","79.0","79.0","0.0","Servicetechniker für Windkraftanla","26243-10","Techniker/in - Windenergietechnik",262,"False"
521,"y","Taxifahrer und Chauffe","['Taxi Drivers and Chauffeurs']","53-304","1.0","79.0","0.0","79.0","79.0","79.0","79.0","79.0","0.0","Taxifahrer und Chauffe",,,,"False"
