jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Music Directors', 'Athletes and Sports Competitors', 'Talent Directors', 'Music Composers and Arrangers', 'Producers', 'Program Directors', 'Choreographers', 'Umpires, Referees, and Other Sports Officials', 'Directors- Stage, Motion Pictures, Television, and Radio', 'Actors', 'Technical Directors/Managers', 'Dancers', 'Coaches and Scouts', 'Singers', 'Musicians, Instrumental']",27-20,15.0,69.93333333333334,21.41583748626458,32.0,60.0,70.0,88.0,100.0,0.3062321852182733
"['Medical and Clinical Laboratory Technologists', 'Radiologic Technologists', 'Nuclear Medicine Technologists', 'Hearing Aid Specialists', 'Veterinary Technologists and Technicians', 'Psychiatric Technicians', 'Licensed Practical and Licensed Vocational Nurses', 'Orthotists and Prosthetists', 'Pharmacy Technicians', 'Ophthalmic Medical Technicians', 'Opticians, Dispensing', 'Diagnostic Medical Sonographers', 'Medical Records and Health Information Technicians', 'Surgical Technologists', 'Radiologic Technicians', 'Histotechnologists and Histologic Technicians', 'Emergency Medical Technicians and Paramedics', 'Medical and Clinical Laboratory Technicians', 'Cardiovascular Technologists and Technicians', 'Respiratory Therapy Technicians', 'Dietetic Technicians', 'Neurodiagnostic Technologists', 'Ophthalmic Medical Technologists', 'Dental Hygienists', 'Magnetic Resonance Imaging Technologists', 'Cytotechnologists', 'Surgical Assistants', 'Cytogenetic Technologists']",29-20,28.0,83.39285714285714,14.957567849715272,49.0,75.0,88.5,95.25,100.0,0.17936269798373775
"['Physical Therapists', 'Veterinarians', 'Acupuncturists', 'Advanced Practice Psychiatric Nurses', 'Registered Nurses', 'Critical Care Nurses', 'Art Therapists', 'Recreational Therapists', 'Orthoptists', 'Nurse Midwives', 'Nurse Practitioners', 'Clinical Nurse Specialists', 'Exercise Physiologists', 'Nurse Anesthetists', 'Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists', 'Radiation Therapists', 'Naturopathic Physicians', 'Speech-Language Pathologists', 'Music Therapists', 'Respiratory Therapists', 'Audiologists', 'Occupational Therapists', 'Acute Care Nurses']",29-11,23.0,88.08695652173913,8.349812428368244,67.0,84.5,91.0,94.0,100.0,0.09479056557377573
"['Orthodontists', 'Pediatricians, General', 'Pharmacists', 'Neurologists', 'Anesthesiologist Assistants', 'Ophthalmologists', 'Optometrists', 'Anesthesiologists', 'Hospitalists', 'Chiropractors', 'Physical Medicine and Rehabilitation Physicians', 'Surgeons', 'Psychiatrists', 'Family and General Practitioners', 'Internists, General', 'Podiatrists', 'Obstetricians and Gynecologists', 'Allergists and Immunologists', 'Oral and Maxillofacial Surgeons', 'Pathologists', 'Radiologists', 'Dietitians and Nutritionists', 'Urologists', 'Dermatologists', 'Dentists, General', 'Sports Medicine Physicians', 'Physician Assistants', 'Prosthodontists', 'Nuclear Medicine Physicians', 'Preventive Medicine Physicians']",29-10,30.0,85.46666666666667,15.826066087821445,32.0,80.25,91.0,96.75,100.0,0.1851723801227158
"['Phlebotomists', 'Dental Assistants', 'Pharmacy Aides', 'Endoscopy Technicians', 'Medical Transcriptionists', 'Medical Assistants', 'Veterinary Assistants and Laboratory Animal Caretakers', 'Massage Therapists', 'Speech-Language Pathology Assistants', 'Medical Equipment Preparers']",31-90,10.0,80.2,15.112908389850048,42.0,77.25,82.5,88.0,99.0,0.18844025423753177
"['Makeup Artists, Theatrical and Performance', 'Skincare Specialists', 'Barbers', 'Hairdressers, Hairstylists, and Cosmetologists', 'Shampooers', 'Manicurists and Pedicurists']",39-50,6.0,92.16666666666667,4.445971959725643,86.0,90.25,91.5,94.25,99.0,0.04823839377640842
"['Orderlies', 'Nursing Assistants', 'Home Health Aides', 'Psychiatric Aides']",31-10,4.0,90.25,5.377421934967226,84.0,87.75,90.0,92.5,97.0,0.05958362254811331
"['Airfield Operations Specialists', 'Commercial Pilots', 'Airline Pilots, Copilots, and Flight Engineers', 'Flight Attendants', 'Air Traffic Controllers']",53-20,5.0,81.6,10.644247272588137,66.0,81.0,82.0,83.0,96.0,0.13044420677191346
"['Chefs and Head Cooks', 'First-Line Supervisors of Food Preparation and Serving Workers']",35-10,2.0,88.0,9.899494936611665,81.0,84.5,88.0,91.5,95.0,0.11249426064331437
"['Physical Therapist Aides', 'Occupational Therapy Aides', 'Physical Therapist Assistants', 'Occupational Therapy Assistants']",31-20,4.0,90.5,5.916079783099616,82.0,88.75,92.5,94.25,95.0,0.06537104732706758
"['Genetic Counselors', 'Occupational Health and Safety Specialists', 'Midwives', 'Occupational Health and Safety Technicians', 'Athletic Trainers']",29-90,5.0,70.8,21.68409555411523,47.0,55.0,65.0,93.0,94.0,0.3062725360750739
"['Parking Lot Attendants', 'Bridge and Lock Tenders', 'Traffic Technicians', 'Automotive and Watercraft Service Attendants', 'Transportation Attendants, Except Flight Attendants', 'Freight and Cargo Inspectors', 'Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation', 'Aviation Inspectors']",53-60,8.0,60.75,19.196353820452465,28.0,52.5,59.5,71.5,93.0,0.31598936329962907
