jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Office Clerks, General']",43-906,1.0,64.0,0.0,64.0,64.0,64.0,64.0,64.0,0.0
"['Weighers, Measurers, Checkers, and Samplers, Recordkeeping']",43-511,1.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,0.0
['Photographic Process Workers and Processing Machine Operators'],51-915,1.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,0.0
"['Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic']",51-408,1.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,0.0
['Hoist and Winch Operators'],53-704,1.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,0.0
['Chemical Technicians'],19-403,1.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,0.0
['Training and Development Specialists'],13-115,1.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0,0.0
['Packaging and Filling Machine Operators and Tenders'],51-911,1.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0,0.0
['Financial Examiners'],13-206,1.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,0.0
['New Accounts Clerks'],43-414,1.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0,0.0
['Structural Metal Fabricators and Fitters'],51-204,1.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,0.0
['Stationary Engineers and Boiler Operators'],51-802,1.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,0.0
['Semiconductor Processors'],51-914,1.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,0.0
['Funeral Service Managers'],11-906,1.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,0.0
['Automotive and Watercraft Service Attendants'],53-603,1.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,0.0
"['Aircraft Structure, Surfaces, Rigging, and Systems Assemblers']",51-201,1.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,0.0
['Plasterers and Stucco Masons'],47-216,1.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,0.0
['Audio-Visual and Multimedia Collections Specialists'],25-901,1.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0,0.0
['Insurance Sales Agents'],41-302,1.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,0.0
['Tool and Die Makers'],51-411,1.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,0.0
"['Office Machine Operators, Except Computer']",43-907,1.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,0.0
['Emergency Management Directors'],11-916,1.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,0.0
['Proofreaders and Copy Markers'],43-908,1.0,53.0,0.0,53.0,53.0,53.0,53.0,53.0,0.0
['Laundry and Dry-Cleaning Workers'],51-601,1.0,53.0,0.0,53.0,53.0,53.0,53.0,53.0,0.0
"['Human Resources Assistants, Except Payroll and Timekeeping']",43-416,1.0,53.0,0.0,53.0,53.0,53.0,53.0,53.0,0.0
