,Bezeichnung_Jobs,Nähe,Deutschland,Berlin,Brandenburg
186,621 Verkauf (ohne Produktspezialisierung)['Retail Salespersons'],69.0,2630.0,2531.0,2246.0
197,"633 Gastronomie['Food Servers, Nonrestaurant']",72.0,1883.0,1843.0,1725.0
201,"634 Veranstaltungsservice, -management['Meeting, Convention, and Event Planners']",72.0,2980.0,2985.0,
185,"621 Verkauf (ohne Produktspezialisierung)['Gaming Change Persons and Booth Cashiers', 'Cashiers']",72.5,2630.0,2531.0,2246.0
196,"633 Gastronomie['Counter Attendants, Cafeteria, Food Concession, and Coffee Shop', 'Combined Food Preparation and Serving Workers, Including Fast Food', 'Baristas']",74.0,1883.0,1843.0,1725.0
195,633 Gastronomie['Waiters and Waitresses'],78.0,1883.0,1843.0,1725.0
200,"634 Veranstaltungsservice, -management['Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop']",79.0,2980.0,2985.0,
198,633 Gastronomie['Bartenders'],79.0,1883.0,1843.0,1725.0
189,631 Tourismus und Sport['Reservation and Transportation Ticket Agents and Travel Clerks'],81.0,2634.0,2569.0,2000.0
194,633 Gastronomie['Dining Room and Cafeteria Attendants and Bartender Helpers'],82.0,1883.0,1843.0,1725.0
